Country,Year,Per Capita Beef Consump.
Cyprus,2013,6.28877
Cyprus,2014,6.493098
Cyprus,2015,6.250359
Cyprus,2016,6.8070498
Cyprus,2017,7.1396947
Cyprus,2018,7.471759
Cyprus,2019,7.5353856
Cyprus,2020,6.3005495
Cyprus,2021,6.63978
Cyprus,2022,7.7079787
Denmark,2000,23.622658
Denmark,2001,24.312634
Denmark,2002,27.394453
Denmark,2003,28.369835
Denmark,2004,28.969984
Denmark,2005,26.962286
Denmark,2006,26.097147
Denmark,2007,26.34081
Denmark,2008,27.391153
Denmark,2009,26.013914
Denmark,2010,28.78548
Denmark,2011,29.297174
Denmark,2012,27.354193
Denmark,2013,28.601133
Denmark,2014,26.191774
Denmark,2015,26.19279
Denmark,2016,25.982859
Denmark,2017,23.625177
Denmark,2018,23.668633
Denmark,2019,24.610435
Denmark,2020,24.725006
Denmark,2021,23.739725
Denmark,2022,21.853315
Estonia,2000,13.180863
Estonia,2001,12.062882
Estonia,2002,13.065291
Estonia,2003,10.334194
Estonia,2004,12.111029
Estonia,2005,12.381103
Estonia,2006,13.504501
Estonia,2007,13.798796
Estonia,2008,13.9009695
Estonia,2009,12.614767
Estonia,2010,12.210826
Estonia,2011,13.120633
Estonia,2012,10.400511
Estonia,2013,7.0003185
Estonia,2014,6.3603535
Estonia,2015,6.5103965
Estonia,2016,7.480455
Estonia,2017,7.450679
Estonia,2018,8.651164
Estonia,2019,7.931303
Estonia,2020,8.468503
Estonia,2021,9.767578
Estonia,2022,8.653174
European Union,2000,17.083302
European Union,2001,16.119108
European Union,2002,16.52783
European Union,2003,16.49379
European Union,2004,16.531204
European Union,2005,16.418657
European Union,2006,16.617783
European Union,2007,16.525229
European Union,2008,15.986843
European Union,2009,16.09307
European Union,2010,15.864136
European Union,2011,15.357429
European Union,2012,15.152242
European Union,2013,14.693344
European Union,2014,14.247878
European Union,2015,14.0716305
European Union,2016,14.194535
European Union,2017,13.948707
European Union,2018,14.429839
European Union,2019,14.434033
European Union,2020,14.071407
European Union,2021,14.105857
European Union,2022,13.953925
Finland,2000,18.049313
Finland,2001,18.080105
Finland,2002,18.0381
Finland,2003,18.270147
Finland,2004,18.939468
Finland,2005,18.999718
Finland,2006,19.026329
Finland,2007,18.591541
Finland,2008,18.315914
Finland,2009,18.207533
Finland,2010,18.389736
Finland,2011,18.73977
Finland,2012,19.459574
Finland,2013,19.159342
Finland,2014,18.239178
Finland,2015,17.719162
Finland,2016,18.12918
Finland,2017,18.839119
Finland,2018,19.309053
Finland,2019,17.909306
Finland,2020,17.649534
Finland,2021,19.312283
Finland,2022,17.25111
France,2000,25.92149
France,2001,27.350437
France,2002,27.940067
France,2003,26.197758
France,2004,26.166119
France,2005,26.442526
France,2006,25.684933
France,2007,26.575405
France,2008,25.736526
France,2009,26.009647
France,2010,25.847336
France,2011,25.303642
France,2012,25.01847
France,2013,23.784725
France,2014,23.787016
France,2015,23.757998
France,2016,23.624792
France,2017,22.991144
France,2018,23.10368
France,2019,23.200956
France,2020,22.53197
France,2021,22.469564
France,2022,22.641655
Germany,2000,13.292943
Germany,2001,10.599124
Germany,2002,11.767327
Germany,2003,11.693966
Germany,2004,12.542719
Germany,2005,12.353658
Germany,2006,12.473577
Germany,2007,13.138483
Germany,2008,12.911389
Germany,2009,12.898538
Germany,2010,12.938622
Germany,2011,13.705186
Germany,2012,13.665439
Germany,2013,13.445186
Germany,2014,13.590145
Germany,2015,14.169254
Germany,2016,14.544271
Germany,2017,14.873657
Germany,2018,14.805734
Germany,2019,14.418721
Germany,2020,14.677208
Germany,2021,14.898462
Germany,2022,13.9303
Greece,2000,34.787052
Greece,2001,23.04539
Greece,2002,20.077118
Greece,2003,19.803806
Greece,2004,17.962645
Greece,2005,17.858105
Greece,2006,19.46497
Greece,2007,18.465479
Greece,2008,18.300116
Greece,2009,19.072699
Greece,2010,20.263092
Greece,2011,17.960093
Greece,2012,17.157526
Greece,2013,16.340614
Greece,2014,14.75897
Greece,2015,13.9416
Greece,2016,14.325663
Greece,2017,15.212781
Greece,2018,15.368966
Greece,2019,14.738503
Greece,2020,14.207085
Greece,2021,14.355561
Greece,2022,14.760897
Hungary,2000,12.50084
Hungary,2001,9.898452
Hungary,2002,10.501538
Hungary,2003,11.999078
Hungary,2004,8.988617
Hungary,2005,6.3289924
Hungary,2006,7.851078
Hungary,2007,6.748053
Hungary,2008,5.7969346
Hungary,2009,5.686792
Hungary,2010,5.7344227
Hungary,2011,6.4442573
Hungary,2012,6.003333
Hungary,2013,5.5329614
Hungary,2014,5.2326818
Hungary,2015,4.9225197
Hungary,2016,5.2924647
Hungary,2017,5.4918694
Hungary,2018,5.811168
Hungary,2019,6.1109095
Hungary,2020,5.7706575
Hungary,2021,5.741148
Hungary,2022,5.5578027
Ireland,2000,17.826612
Ireland,2001,25.029547
Ireland,2002,26.871607
Ireland,2003,23.58623
Ireland,2004,27.775505
Ireland,2005,26.04702
Ireland,2006,27.462032
Ireland,2007,23.381386
Ireland,2008,21.4787
Ireland,2009,22.158215
Ireland,2010,22.002262
Ireland,2011,21.871063
Ireland,2012,22.216797
Ireland,2013,22.236252
Ireland,2014,18.962042
Ireland,2015,20.052113
Ireland,2016,19.861155
Ireland,2017,20.038712
Ireland,2018,23.395866
Ireland,2019,19.282417
Ireland,2020,20.250633
Ireland,2021,23.214941
Ireland,2022,23.228128
Italy,2000,24.80542
Italy,2001,23.875854
Italy,2002,24.093674
Italy,2003,24.72482
Italy,2004,23.56651
Italy,2005,23.671448
Italy,2006,24.413713
Italy,2007,24.203505
Italy,2008,23.030128
Italy,2009,23.714434
Italy,2010,23.34662
Italy,2011,21.756067
Italy,2012,20.931286
Italy,2013,18.793661
Italy,2014,19.678635
Italy,2015,17.450798
Italy,2016,17.276695
Italy,2017,16.225546
Italy,2018,17.095776
Italy,2019,17.333279
Italy,2020,16.088549
Italy,2021,15.849166
Italy,2022,16.061758
Latvia,2000,10.702096
Latvia,2001,9.567339
Latvia,2002,8.059626
Latvia,2003,10.225606
Latvia,2004,10.610964
Latvia,2005,9.151585
Latvia,2006,7.5839224
Latvia,2007,8.694491
Latvia,2008,7.5497746
Latvia,2009,6.586307
Latvia,2010,5.409514
Latvia,2011,4.859848
Latvia,2012,4.925573
Latvia,2013,5.2073855
Latvia,2014,4.75997
Latvia,2015,5.1362953
Latvia,2016,5.266338
Latvia,2017,5.5850296
Latvia,2018,5.7237864
Latvia,2019,6.0772715
Latvia,2020,5.5481
Latvia,2021,4.9789853
Latvia,2022,5.5881777
Lithuania,2000,14.619927
Lithuania,2001,11.024945
Lithuania,2002,12.446136
Lithuania,2003,13.599926
Lithuania,2004,11.49922
Lithuania,2005,12.782862
Lithuania,2006,7.875093
Lithuania,2007,7.7099924
Lithuania,2008,6.3970757
Lithuania,2009,4.9031773
Lithuania,2010,3.8303952
Lithuania,2011,3.5310578
Lithuania,2012,3.5468447
Lithuania,2013,4.493624
Lithuania,2014,4.033169
Lithuania,2015,3.9472315
Lithuania,2016,4.478559
Lithuania,2017,4.917199
Lithuania,2018,5.6034803
Lithuania,2019,5.5655313
Lithuania,2020,5.8205724
Lithuania,2021,5.753812
Lithuania,2022,4.9301147
Luxembourg,2000,30.000229
Luxembourg,2001,34.14389
Luxembourg,2002,31.042759
Luxembourg,2003,32.70551
Luxembourg,2004,31.618944
Luxembourg,2005,30.25324
Luxembourg,2006,30.874893
Luxembourg,2007,30.218477
Luxembourg,2008,31.869446
Luxembourg,2009,29.408426
Luxembourg,2010,30.888802
Luxembourg,2011,30.53802
Luxembourg,2012,31.108835
Luxembourg,2013,30.373892
Luxembourg,2014,28.00917
Luxembourg,2015,26.393972
Luxembourg,2016,27.702353
Luxembourg,2017,26.529947
Luxembourg,2018,27.291065
Luxembourg,2019,29.08076
Luxembourg,2020,28.721025
Luxembourg,2021,30.634192
Luxembourg,2022,30.461182
Malta,2000,27.209862
Malta,2001,16.713854
Malta,2002,21.45173
Malta,2003,20.911041
Malta,2004,21.574926
Malta,2005,21.265884
Malta,2006,21.489206
Malta,2007,20.799301
Malta,2008,20.609425
Malta,2009,20.375975
Malta,2010,19.309973
Malta,2011,19.38127
Malta,2012,19.469173
Malta,2013,19.718456
Malta,2014,25.605152
Malta,2015,20.839546
Malta,2016,19.189758
Malta,2017,19.962854
Malta,2018,18.301725
Malta,2019,18.395864
Malta,2020,23.330885
Malta,2021,17.448406
Malta,2022,17.89096
Netherlands,2000,16.651327
Netherlands,2001,17.662313
Netherlands,2002,17.363667
Netherlands,2003,16.028608
Netherlands,2004,17.351185
Netherlands,2005,16.038935
Netherlands,2006,16.878532
Netherlands,2007,18.918339
Netherlands,2008,16.258131
Netherlands,2009,17.99618
Netherlands,2010,18.785774
Netherlands,2011,14.807374
Netherlands,2012,15.212282
Netherlands,2013,17.446857
Netherlands,2014,16.177477
Netherlands,2015,15.858284
Netherlands,2016,15.825897
Netherlands,2017,15.572103
Netherlands,2018,15.588039
Netherlands,2019,15.296495
Netherlands,2020,16.340515
Netherlands,2021,16.553534
Netherlands,2022,16.411917
Poland,2000,8.059528
Poland,2001,6.371248
Poland,2002,5.9680433
Poland,2003,6.6280527
Poland,2004,6.0190434
Poland,2005,4.5096345
Poland,2006,5.136519
Poland,2007,4.6304407
Poland,2008,4.3923235
Poland,2009,4.1709504
Poland,2010,2.7254472
Poland,2011,2.7493443
Poland,2012,3.5345905
Poland,2013,2.9062026
Poland,2014,0.26215225
Poland,2015,0.38284838
Poland,2016,0.45316184
Poland,2017,0.19137996
Poland,2018,0.79579246
Poland,2019,1.0774939
Poland,2020,1.4799114
Poland,2021,0.2920387
Poland,2022,0.2595831
Portugal,2000,16.185814
Portugal,2001,14.035486
Portugal,2002,15.744186
Portugal,2003,16.925282
Portugal,2004,18.174128
Portugal,2005,17.413265
Portugal,2006,18.13216
Portugal,2007,18.406002
Portugal,2008,18.730478
Portugal,2009,18.438251
Portugal,2010,17.686272
Portugal,2011,17.162638
Portugal,2012,16.353888
Portugal,2013,17.65053
Portugal,2014,18.933943
Portugal,2015,18.871218
Portugal,2016,19.244621
Portugal,2017,19.885036
Portugal,2018,20.848024
Portugal,2019,21.637924
Portugal,2020,20.476189
Portugal,2021,20.479275
Portugal,2022,22.125034
Romania,2000,7.0780406
Romania,2001,6.7988763
Romania,2002,7.215657
Romania,2003,8.359122
Romania,2004,7.4332027
Romania,2005,10.278136
Romania,2006,10.132659
Romania,2007,7.943211
Romania,2008,7.6542907
Romania,2009,7.976332
Romania,2010,6.6083593
Romania,2011,5.842165
Romania,2012,5.713947
Romania,2013,5.9610806
Romania,2014,6.719295
Romania,2015,7.202687
Romania,2016,6.546869
Romania,2017,5.3025427
Romania,2018,5.1823535
Romania,2019,4.264952
Romania,2020,5.193241
Romania,2021,5.121303
Romania,2022,4.67717
Slovakia,2000,10.365389
Slovakia,2001,8.713845
Slovakia,2002,8.626514
Slovakia,2003,7.2946286
Slovakia,2004,5.933172
Slovakia,2005,6.487211
Slovakia,2006,6.1128263
Slovakia,2007,6.1329074
Slovakia,2008,5.707813
Slovakia,2009,5.0269966
Slovakia,2010,5.1143246
Slovakia,2011,4.5338397
Slovakia,2012,5.164203
Slovakia,2013,5.294222
Slovakia,2014,5.3843036
Slovakia,2015,5.4341693
Slovakia,2016,5.6040635
Slovakia,2017,6.0841584
Slovakia,2018,6.0939393
Slovakia,2019,6.0936794
Slovakia,2020,6.041829
Slovakia,2021,6.5458326
Slovakia,2022,7.0012174
Slovenia,2000,24.599346
Slovenia,2001,20.21321
Slovenia,2002,19.084934
Slovenia,2003,24.13183
Slovenia,2004,23.417044
Slovenia,2005,23.54632
Slovenia,2006,20.881157
Slovenia,2007,21.391857
Slovenia,2008,21.342577
Slovenia,2009,20.654781
Slovenia,2010,20.003279
Slovenia,2011,19.789478
Slovenia,2012,18.916517
Slovenia,2013,18.56267
Slovenia,2014,17.146557
Slovenia,2015,18.021126
Slovenia,2016,18.128426
Slovenia,2017,17.48989
Slovenia,2018,14.806171
Slovenia,2019,14.735469
Slovenia,2020,15.118654
Slovenia,2021,12.143891
Slovenia,2022,12.2265835
Spain,2000,14.543992
Spain,2001,14.466573
Spain,2002,15.288874
Spain,2003,14.994933
Spain,2004,15.469998
Spain,2005,15.397052
Spain,2006,15.055239
Spain,2007,14.630743
Spain,2008,14.404157
Spain,2009,13.95131
Spain,2010,13.482503
Spain,2011,12.895817
Spain,2012,12.360672
Spain,2013,12.162943
Spain,2014,11.198389
Spain,2015,11.199136
Spain,2016,11.535601
Spain,2017,11.46997
Spain,2018,13.632372
Spain,2019,13.224771
Spain,2020,11.9900875
Spain,2021,12.773093
Spain,2022,12.84713
Sweden,2000,19.71978
Sweden,2001,20.33166
Sweden,2002,22.963806
Sweden,2003,23.616596
Sweden,2004,23.646286
Sweden,2005,23.860605
Sweden,2006,24.02477
Sweden,2007,24.018112
Sweden,2008,23.558514
Sweden,2009,23.308195
Sweden,2010,23.79887
Sweden,2011,24.186308
Sweden,2012,23.800941
Sweden,2013,24.502678
Sweden,2014,23.41267
Sweden,2015,24.47391
Sweden,2016,23.561108
Sweden,2017,23.150751
Sweden,2018,20.972963
Sweden,2019,23.334547
Sweden,2020,21.952366
Sweden,2021,21.67554
Sweden,2022,22.130093
